台湾/Taiwan,#genre#
台視綜合,tvbus://3Td8zs7cMroC7YcjTb3PXYro1qPaXD7UVs613xmAA85tzatjEn
尼克兒童頻道,tvbus://4qGVA1B9Fv2Z8PEkZ3mCGnxS5UHrEEf9P7CoH5Wc2VVupuAyDf
愛爾達娛樂,tvbus://3YyC3xdBN5B4aTuup8xtMBCF2fXEjyECEdQzVbawuqj7Mf4F2V
唯心電視,tvbus://3ePvXyoPHAdfHguwHWDpknzfsjNtVACsXTThZz6BUxKwXmNRZ2
BBC,tvbus://4dyyLm1SuXeYtX87LbQzhagDVAmkoy52Qz2LssT4hnzAQjRkPK
靖天電影台,tvbus://3k8Mz9TABbb1fu1NLDix3QyqB7tpa44idvtT4gcPZcgtarFvCf
華視體育,tvbus://3FpevUotrcrtakAz9ANqqvG2YbX9nbBbPCZaytBQrxLdYF5DTD
好消息2,tvbus://3wDHmCZT2syUiGm37Khzd5EzQPKCM7UZkgJ5VLZo9qzXN482MN
Eleven_Sport2,tvbus://3VuY6TiHmn2mHsz7UcBhr63XR3gnLTCDNZdb4u7SRxTPhTcDVC

博斯運動一,tvbus://3AasNUqKjEuBB1bFY3MwYvqGHCQSjc65i5NB8zKwe79ZcZvrkK
探索亞洲,tvbus://44tQohGKux3JZXMxLVsrKzHosHQg8g3Ab4iKqvVHzeGQEZk7uA
DMAX,tvbus://3WnENYrSkKnHhUdVVRaXBazP7eGmmhJSYe3sCTU3YLZiuzg25p
靖天綜合,tvbus://4Q5vWGAjikWVmdt1UixbBKoRvcXdx9FLQztWS59C88QdkDc2Qs
靖天育樂,tvbus://4jxkvUb9DAsndJCrX5FNnEiuhQ7odHzGVwVg5rBZbc43i1MFi2
Lifetime,tvbus://4sXQwZruWjbGZ7XcHV2xY97z9aBSWvy1emFFBV6KrJFwpLFYup
TVBS精采,tvbus://3d8rE6s13VGxiKRZj3u8aDX9pgqPK5uSLgT28vJStQYYvzMiSt
CatchPlay電影,tvbus://3x32bfUzJkRPfDDqLByB33DCagyaQxJ6AWfYAjCj6nJfkNqG7Z
博斯運動2,tvbus://3dttVqBeBu6i6UBTCfChYpaj3VnsptyBSrxczDwgYFLavDK1WH
罪案偵緝頻道,tvbus://4YKupjNbHsYRz1AnGMnVr9RPhwr74DDtRrHbSAFR25dkEGuPjY
韓國娛樂KMTV,tvbus://48ANK1cDwsXLFN7CZqq3nJxrPoPvU8L8eqSYDS9d5epL44wuXg
HBO原創鉅獻,tvbus://3DX65jGu7oUxKWsuPTEeSvT3BmABuYzwK5y2ytDdhjY6VmN1ke
HBO強檔鉅獻,tvbus://3bDXTNxZHb3irsCnz6HEEngHcqNNGt1EnNNWnP9dgqXMjGmSh2
HBO溫馨家庭,tvbus://3Aioa5GfTZsvqARrBunBymbbCNoRr4JfTUmb5RXcY4uMqtPJh9
tvN,tvbus://4HzAJDFxqupFrfx7g7cjq3rbv998spE5i8KwGgbrP41nG3am4U
博斯高球,tvbus://3dCGZXPQysZK1zM1mBDibLsAJoqCGiyWSW2et2igFxp3nL6BFQ
博斯高球二,tvbus://3nPtiUcAcFwwWgVE2isu1zfwL3Bh1xj1BLCNXDhASHbgF2Pxy8
博斯魅力,tvbus://38XsMPjpeuMHi5orCcLigqFDDzjrYmYDxrfdknrXPTB4Y8qzYj
博斯網球,tvbus://3je8U1evzJtSaGMp2ecAxZvLhVzUDEtBvssbFuCpFNkCe7641p
博斯無限,tvbus://3cUT2WP5S5TKiRogKRiSJhAaFr4e6FDPgEhz7VpPeL6LQKH7Ck
歷史頻道,tvbus://4P7g82hbotGtuHK5UtVy3cgh2mS9FRVnUkyWgaDeYYssQFUhuD
博斯無限二,tvbus://4BJ3GGiq32Hjn7eqstUDdPERYNkFX1C9kxaL99HEYZaexw5yki
美亞電影粵語,tvbus://41aSr2aaawu7mMMv8Ecja6ybgK7MpsSn941gECnTWRCXbNoZin
靖天國際,tvbus://3Lt3j9mhjxTPbR5vAEEwTd9b9cBar6qVLDeetRQPB3WuoRPYV4

東森購物1,tvbus://3FhCkoVvJ7dicaig6R6xdmZS1JGRQQ3rDWWgwjJRvi4PCwrooh
東森購物2,tvbus://4b6rK6fs5uh5paiZwWa1zdWZ1sYjcFgeU2Fy8zCMygVvyzMFDM
靖天資訊,tvbus://3veP9Ztoon7wpRQfRQbxTxWZiTQz8YdZyCUz1ftHX2QwhoZFi9
台視新聞,tvbus://4Vh1xADpsCCgmyqoeks3cKc6d9GiMXp8odzvURzUoVayNBZSrZ
